unique_dest,avg_ttl,sum_pay,port_count,target
4,204,46436609,31,Benign
1,64,600,14,Bot
2,128,60,2,Benign
1,111,71,1,Benign
3,111,3491,3,Benign
1,109,65,1,Benign
1,112,96,1,Benign
1,107,130,1,Benign
1,111,65,1,Benign
1,110,65,1,Benign
1,107,96,1,Benign
2,107,5899,2,Benign
1,114,65,1,Benign
1,104,192,1,Benign
1,104,96,1,Benign
1,111,333,1,Benign
1,108,96,1,Benign
1,109,96,1,Benign
1,44,197,1,Benign
1,108,96,1,Benign
1,64,49679,1,Bot
1,233,120,1,Bot
1,117,300,1,Bot
1,35,96,1,Benign
1,102,96,1,Benign
1,102,192,1,Benign
1,228,36,1,Benign
1,108,86,1,Benign
1,111,96,1,Benign
1,111,65,1,Benign
1,111,142,1,Benign
1,111,96,1,Benign
1,110,65,1,Benign
1,113,71,1,Benign
1,113,65,1,Benign
1,113,192,1,Benign
1,111,81,1,Benign
1,112,65,1,Benign
1,110,65,1,Benign
1,106,192,1,Benign
1,49,71,1,Benign
1,108,96,1,Benign
1,108,650,1,Benign
1,45,81,1,Benign
1,107,42,1,Benign
1,115,71,1,Benign
1,108,2267,1,Benign
1,109,167,1,Benign
1,115,1998477,1,Benign
1,46,104,1,Benign
1,109,177,1,Benign
1,111,71,1,Benign
1,106,288,1,Benign
1,106,65,1,Benign
1,108,96,1,Benign
1,109,96,1,Benign
1,45,107,1,Benign
1,109,96,1,Benign
1,44,96,1,Benign
1,108,65,1,Benign
1,46,94,1,Benign
1,109,65,1,Benign
1,108,53055,1,Benign
1,44,96,1,Benign
1,109,833,1,Benign
1,44,71,1,Benign
1,109,970,1,Benign
1,29,225,1,Benign
1,109,167,1,Benign
1,109,96,1,Benign
1,45,71,1,Benign
1,109,61,1,Benign
1,109,71,1,Benign
1,109,96,1,Benign
1,109,96,1,Benign
1,109,96,1,Benign
1,46,104,1,Benign
1,108,142,1,Benign
1,108,172,1,Benign
1,109,71,1,Benign
1,46,104,1,Benign
1,44,65,1,Benign
1,109,138,1,Benign
1,45,0,1,Benign
1,109,72,1,Benign
1,109,84,1,Benign
1,109,144,1,Benign
1,110,42,1,Benign
1,109,142,1,Benign
1,109,993,1,Benign
1,109,96,1,Benign
1,109,96,1,Benign
1,109,96,1,Benign
1,115,192,1,Benign
1,108,302,1,Benign
1,108,65,1,Benign
1,109,26,1,Benign
1,110,71,1,Benign
1,113,5900,1,Benign
1,109,71,1,Benign
1,46,216,1,Benign
1,107,65,1,Benign
1,238,92,1,Benign
1,107,65,1,Benign
1,110,96,1,Benign
1,107,71,1,Benign
1,106,96,1,Benign
1,104,45,1,Benign
1,109,96,1,Benign
1,115,96,1,Benign
1,107,96,1,Benign
1,108,71,1,Benign
1,108,130,1,Benign
1,107,71,1,Benign
1,111,177,1,Benign
1,113,192,1,Benign
1,105,96,1,Benign
1,110,376,1,Benign
1,111,113,1,Benign
1,40,168,1,Benign
1,114,65,1,Benign
1,115,1029,1,Benign
1,107,36,1,Benign
1,113,96,1,Benign
1,108,96,1,Benign
2,116,3061,2,Benign
1,107,192,1,Benign
1,107,96,1,Benign
1,105,71,1,Benign
1,105,71,1,Benign
1,50,432,1,Benign
1,112,96,1,Benign
1,111,96,1,Benign
1,112,90,1,Benign
1,47,1794,1,Benign
1,111,96,1,Benign
1,102,96,1,Benign
1,102,0,1,Benign
1,101,167,1,Benign
1,102,96,1,Benign
1,102,96,1,Benign
1,111,96,1,Benign
1,108,65,1,Benign
1,108,96,1,Benign
1,108,51,1,Benign
1,107,96,1,Benign
1,110,192,1,Benign
1,42,96,1,Benign
1,106,65,1,Benign
1,111,96,1,Benign
1,237,18,1,Benign
1,64,876,1,Bot
1,236,116,1,Benign
1,102,96,1,Benign
1,105,18,1,Benign
1,104,18,1,Benign
1,107,156,1,Benign
1,234,96,1,Benign
1,106,161,1,Benign
1,105,96,1,Benign
1,100,96,1,Benign
1,103,96,1,Benign
1,104,192,1,Benign
1,106,65,1,Benign
1,107,353,1,Benign
1,108,192,1,Benign
1,45,18,1,Benign
1,109,96,1,Benign
1,117,96,1,Benign
1,107,96,1,Benign
1,233,0,1,Benign
1,48,140,1,Benign
1,107,96,1,Benign
1,114,96,1,Benign
1,109,96,1,Benign
1,104,1728,1,Benign
1,105,96,1,Benign
1,104,18,1,Benign
1,102,81,1,Benign
1,112,96,1,Benign
1,111,96,1,Benign
1,107,72,1,Benign
1,106,96,1,Benign
1,42,96,1,Benign
1,103,585,1,Benign
1,107,168,1,Benign
1,50,104,1,Benign
1,44,65,1,Benign
1,112,18,1,Benign
1,107,96,1,Benign
1,107,168,4,Benign
1,111,96,1,Benign
1,108,177,1,Benign
1,104,407,3,Benign
1,108,192,1,Benign
2,111,97424,3,Benign
1,111,90,1,Benign
1,45,216,1,Benign
1,109,96,1,Benign
1,112,1233,1,Benign
1,113,65,1,Benign
1,41,96,1,Benign
1,109,44,1,Benign
1,105,96,1,Benign
1,105,192,1,Benign
1,105,96,1,Benign
1,108,90,1,Benign
1,106,36,1,Benign
1,43,396,4,Benign
1,114,96,1,Benign
1,112,192,1,Benign
1,105,96,1,Benign
1,105,147,1,Benign
1,105,96,1,Benign
1,106,96,1,Benign
1,105,102,1,Benign
1,105,26,1,Benign
1,105,35,1,Benign
1,41,188,1,Benign
1,107,18,1,Benign
1,43,101,1,Benign
1,106,18,1,Benign
1,113,39,1,Benign
1,103,18,1,Benign
1,107,65,1,Benign
1,114,192,1,Benign
1,108,96,1,Benign
1,115,96,1,Benign
1,111,192,1,Benign
1,112,96,1,Benign
1,104,96,1,Benign
4,112,5565,4,Benign
1,106,18,1,Benign
1,105,65,1,Benign
1,103,96,1,Benign
1,109,96,1,Benign
1,108,96,1,Benign
1,64,857,1,Bot
1,107,96,1,Benign
1,109,192,1,Benign
1,109,71,1,Benign
1,106,113,1,Benign
1,105,96,1,Benign
1,105,96,1,Benign
1,105,96,1,Benign
1,111,96,1,Benign
1,106,62,1,Benign
1,106,96,1,Benign
1,107,96,1,Benign
1,108,96,1,Benign
1,108,96,1,Benign
1,109,258,1,Benign
1,43,65,1,Benign
1,108,192,1,Benign
4,109,2159,4,Benign
1,108,288,1,Benign
1,109,24480,1,Benign
1,108,96,1,Benign
1,109,68,1,Benign
1,111,18,1,Benign
1,110,65,1,Benign
1,113,96,1,Benign
1,108,96,1,Benign
1,109,296,1,Benign
1,49,96,1,Benign
1,115,71,1,Benign
1,113,192,1,Benign
1,106,96,1,Benign
1,104,45,1,Benign
1,106,96,1,Benign
1,105,192,1,Benign
1,105,192,1,Benign
1,109,177,1,Benign
1,110,94,1,Benign
1,104,409,1,Benign
1,113,96,1,Benign
1,102,96,1,Benign
1,110,192,1,Benign
1,48,155,1,Benign
1,45,197,1,Benign
1,108,71,1,Benign
1,47,156,2,Benign
1,107,96,1,Benign
1,110,96,1,Benign
1,41,288,1,Benign
1,109,192,1,Benign
1,108,96,1,Benign
1,111,96,1,Benign
1,47,333,1,Benign
1,239,614,1,Benign
1,48,555,1,Benign
1,48,222,1,Benign
1,46,3360,1,Benign
1,109,43,1,Benign
1,46,62,1,Benign
1,46,406,1,Benign
1,108,18,1,Benign
1,110,71,1,Benign
1,111,96,1,Benign
1,110,96,1,Benign
1,110,96,1,Benign
1,111,509,1,Benign
1,109,65,1,Benign
1,110,237,1,Benign
1,47,96,1,Benign
1,111,192,1,Benign
1,105,96,1,Benign
1,105,433,1,Benign
1,106,65,1,Benign
1,105,369,1,Benign
1,106,568,1,Benign
1,104,71,1,Benign
1,106,192,1,Benign
1,48,333,1,Benign
1,112,333,1,Benign
1,40,96,1,Benign
1,107,65,1,Benign
1,106,96,1,Benign
1,106,96,1,Benign
1,78,200,2,Benign
1,43,96,1,Benign
1,238,17613,1,Benign
1,101,96,1,Benign
1,105,192,1,Benign
1,104,96,1,Benign
1,105,96,1,Benign
1,105,95,1,Benign
1,104,96,1,Benign
1,105,192,1,Benign
1,104,86,1,Benign
1,105,96,1,Benign
1,105,449,1,Benign
1,108,96,1,Benign
1,109,65,1,Benign
1,111,94,1,Benign
1,109,161,1,Benign
1,108,62,1,Benign
1,109,62,1,Benign
1,40,1214,1,Benign
1,37,147,1,Benign
1,45,35,1,Benign
1,109,124,1,Benign
1,45,282,1,Benign
1,46,147,1,Benign
1,105,96,1,Benign
1,105,96,1,Benign
1,107,96,1,Benign
1,107,104,1,Benign
1,107,96,1,Benign
1,109,312,1,Benign
1,110,96,1,Benign
1,46,396,1,Benign
1,109,96,1,Benign
1,45,172,1,Benign
1,110,18,1,Benign
5,110,3630,5,Benign
1,109,18,1,Benign
1,112,96,1,Benign
1,48,71,1,Benign
1,111,96,1,Benign
1,112,62,1,Benign
1,112,192,1,Benign
1,110,192,1,Benign
1,111,43,1,Benign
1,111,96,1,Benign
1,111,44,1,Benign
1,111,96,1,Benign
1,112,96,1,Benign
1,111,672,1,Benign
1,112,192,1,Benign
1,111,288,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
2,111,146,2,Benign
1,111,96,1,Benign
1,112,6390,1,Benign
1,111,192,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,111,147,1,Benign
1,110,96,1,Benign
1,111,132,1,Benign
1,111,96,1,Benign
1,111,38,1,Benign
1,111,96,1,Benign
1,112,1704,1,Benign
1,111,96,1,Benign
1,111,288,1,Benign
1,112,51,1,Benign
1,110,176,1,Benign
1,47,71,1,Benign
1,45,27,1,Benign
1,110,96,1,Benign
1,107,96,1,Benign
1,109,96,1,Benign
1,48,175,1,Benign
1,103,181,1,Benign
1,106,96,1,Benign
1,40,288,1,Benign
1,45,864,1,Benign
1,108,38,1,Benign
1,108,219,1,Benign
1,108,192,1,Benign
1,108,96,1,Benign
1,111,132,1,Benign
1,108,2304,1,Benign
1,108,96,1,Benign
1,108,96,1,Benign
1,108,51,1,Benign
1,108,96,1,Benign
1,111,38230,1,Benign
1,110,96,1,Benign
1,107,96,1,Benign
1,12,96,1,Benign
1,111,96,1,Benign
1,45,96,1,Benign
1,43,227,1,Benign
1,108,96,1,Benign
1,109,96,1,Benign
1,108,96,1,Benign
1,108,95,1,Benign
1,108,96,1,Benign
1,109,192,1,Benign
1,109,192,1,Benign
1,108,96,1,Benign
1,104,62,1,Benign
1,112,93,1,Benign
1,48,333,1,Benign
1,106,192,1,Benign
1,107,96,1,Benign
1,107,478,1,Benign
1,108,130,1,Benign
1,107,96,1,Benign
1,46,172,1,Benign
1,44,161,1,Benign
1,106,96,1,Benign
1,40,95,1,Benign
1,105,65,1,Benign
1,108,65,1,Benign
1,107,65,1,Benign
1,43,65,1,Benign
1,107,1672,1,Benign
1,48,11904,1,Benign
1,112,96,1,Benign
1,114,999,1,Benign
1,108,96,1,Benign
1,108,65,1,Benign
1,108,86,1,Benign
1,108,192,1,Benign
1,100,71,1,Benign
1,100,113,1,Benign
1,34,96,1,Benign
1,103,71,1,Benign
1,102,96,1,Benign
1,102,62,1,Benign
1,102,71,1,Benign
1,101,167,1,Benign
1,101,96,1,Benign
1,102,18,1,Benign
1,101,192,1,Benign
1,104,96,1,Benign
1,40,65,1,Benign
1,105,71,1,Benign
1,101,71,1,Benign
1,38,172,1,Benign
1,101,84,1,Benign
1,102,96,1,Benign
1,101,96,1,Benign
1,137,1703,6,Benign
1,102,96,1,Benign
1,102,71,1,Benign
1,106,65,1,Benign
1,104,96,1,Benign
1,107,65,1,Benign
1,106,65,1,Benign
1,113,555,1,Benign
1,48,96,1,Benign
1,39,192,1,Benign
1,113,93,1,Benign
1,114,222,1,Benign
1,48,192,1,Benign
1,50,666,1,Benign
1,38,626,1,Benign
1,49,333,1,Benign
1,112,63,1,Benign
1,49,333,1,Benign
1,49,888,1,Benign
1,113,1887,1,Benign
1,49,111,1,Benign
1,112,36,1,Benign
1,50,222,1,Benign
1,114,333,1,Benign
1,35,294,1,Benign
1,47,51,1,Benign
1,43,172,1,Benign
1,107,62,1,Benign
1,108,18,1,Benign
1,40,96,1,Benign
1,114,222,1,Benign
1,111,1104,1,Benign
1,112,96,1,Benign
1,111,96,1,Benign
1,49,333,1,Benign
1,47,666,1,Benign
1,44,192,1,Benign
1,44,96,1,Benign
1,110,288,1,Benign
1,44,96,1,Benign
1,111,113,1,Benign
1,109,126,1,Benign
1,110,43,1,Benign
1,45,319,1,Benign
1,44,35,1,Benign
1,45,268628,20,Benign
1,46,24718,3,Benign
1,45,192,1,Benign
1,40,172,1,Benign
1,105,554,1,Benign
1,105,96,1,Benign
1,105,96,1,Benign
1,105,161,1,Benign
1,108,18,1,Benign
1,106,96,1,Benign
1,108,65,1,Benign
1,109,18,1,Benign
1,107,65,1,Benign
1,106,65,1,Benign
1,104,65,1,Benign
1,114,288,1,Benign
1,107,71,1,Benign
1,106,65,1,Benign
1,107,286,3,Benign
1,107,96,1,Benign
1,107,65,1,Benign
1,47,222,1,Benign
1,110,113,1,Benign
1,100,96,1,Benign
1,106,96,1,Benign
1,47,147,1,Benign
1,112,96,1,Benign
1,47,95,1,Benign
1,50,444,1,Benign
1,111,1949,1,Benign
1,48,96,1,Benign
1,114,111,1,Benign
1,49,217227,1,Benign
1,47,90,1,Benign
1,110,96,1,Benign
1,14,96,1,Benign
1,110,96,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,46,192,1,Benign
1,110,192,1,Benign
1,47,62,1,Benign
1,47,372,2,Benign
1,47,200,1,Benign
1,102,96,1,Benign
1,98,96,1,Benign
1,38,42,1,Benign
1,101,65,1,Benign
1,101,96,1,Benign
1,44,136,1,Benign
1,112,3888,1,Benign
1,45,96,1,Benign
1,45,96,1,Benign
1,110,43,1,Benign
1,45,43,1,Benign
1,110,192,1,Benign
1,48,666,1,Benign
1,45,288,1,Benign
1,44,73,1,Benign
1,107,65,1,Benign
1,112,232,1,Benign
1,44,86,1,Benign
1,45,71,1,Benign
1,108,192,1,Benign
1,109,172,1,Benign
1,108,258,1,Benign
1,106,96,1,Benign
1,45,86,1,Benign
1,109,177,1,Benign
1,109,96,1,Benign
1,45,172,1,Benign
1,109,192,1,Benign
1,44,96,1,Benign
1,106,96,1,Benign
1,109,96,1,Benign
1,109,96,1,Benign
1,109,192,1,Benign
1,109,86,1,Benign
1,107,96,1,Benign
2,110,3870,2,Benign
1,106,86,1,Benign
1,106,86,1,Benign
1,109,96,1,Benign
1,108,96,1,Benign
1,109,516,1,Benign
1,108,96,1,Benign
1,107,172,1,Benign
1,107,96,1,Benign
1,107,158,1,Benign
1,105,1109,1,Benign
1,105,177,1,Benign
1,105,96,1,Benign
1,107,86,1,Benign
1,106,62,1,Benign
1,107,177,1,Benign
1,107,96,1,Benign
1,108,172,1,Benign
1,109,18,1,Benign
3,110,90,3,Benign
1,41,42,1,Benign
1,107,86,1,Benign
1,107,172,1,Benign
1,107,5184,1,Benign
1,106,288,1,Benign
1,107,172,1,Benign
1,106,96,1,Benign
1,107,86,1,Benign
1,108,81,1,Benign
1,110,96,1,Benign
1,237,2671,1,Benign
1,45,96,1,Benign
1,109,768,1,Benign
1,107,96,1,Benign
1,44,96,1,Benign
1,108,480,1,Benign
1,110,96,1,Benign
1,111,96,1,Benign
1,111,26,1,Benign
1,112,12096,1,Benign
1,111,96,1,Benign
1,112,93,1,Benign
1,109,1644,1,Benign
1,46,1440,1,Benign
1,111,96,1,Benign
1,109,96,1,Benign
1,109,24000,1,Benign
1,238,16902,1,Benign
1,46,2112,1,Benign
1,48,666,1,Benign
1,46,96,1,Benign
1,49,333,1,Benign
1,109,192,1,Benign
1,111,131,1,Benign
1,112,444,1,Benign
1,110,192,1,Benign
1,110,96,1,Benign
1,46,96,1,Benign
1,111,96,1,Benign
1,109,0,1,Benign
1,111,96,1,Benign
1,110,96,1,Benign
1,109,96,1,Benign
1,110,62,1,Benign
1,46,10944,1,Benign
1,111,26,1,Benign
1,112,132,1,Benign
1,112,26,1,Benign
1,111,130,1,Benign
1,112,2550,1,Benign
1,111,96,1,Benign
1,111,147,1,Benign
1,104,504,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,111,96,1,Benign
1,111,26,1,Benign
1,112,44,1,Benign
1,110,96,1,Benign
1,111,192,1,Benign
1,111,254,1,Benign
